period,title
2022-02-11,Jornalista judeu defende direito de opinião de Monark e diz que não houve crime
2022-02-09,Presidente condena apologia ao nazismo e pede seriedade sobre o tema
2022-02-09,Adrilles e Monark: medíocres alçados à fama defecam ao vivo e se dão mal
2022-02-18,Caso Monark: apologia do nazismo como parte de discriminações estruturais
2022-02-16,Caso Monark: Bia Kicis quer criminalizar falsa acusação de nazismo
2022-02-10,Senado homenageia vítimas do Holocausto e critica youtuber Monark
2022-02-17,Alesp terá ato em memória às vítimas do Holocausto após caso Monark
2022-02-10,'Nazismo passou por um processo de normalização pública'
2022-02-09,"Monark, nazismo e reforma psicológica"
2022-02-16,Contra o nazismo: livros que um Monark da vida deveria ler
2022-02-09,Imprensa internacional repercute declarações de Monark sobre nazismo
2022-02-25,"Após sugerir criação de partido nazista, Monark visita Museu do Holocausto"
2022-02-08,Apresentador compara nazismo ao comunismo após fala de Monark: 'A diferença é o fã-clube'
2022-02-15,"Caso Monark: após fala sobre nazismo, Kim Kataguiri processa 17 pessoas por calúnia e difamação"
2022-02-11,Lucas Silveira pede para Flow retirar sua entrevista do ar após fala de Monark sobre nazismo
2022-02-09,Houve um tempo em que Monark era bicicleta
2022-02-10,Procuradoria vai investigar declarações de Monark e Kim Kataguiri sobre nazismo
2022-02-10,Cresce o número de investigações ao nazismo no Brasil
2022-02-16,Tabata Amaral pede desculpas após publicar foto com Monark - Congresso em Foco
2022-02-09,Putin está por trás do livre nazismo de Monark e de idiotices do tiozão do pavê
2022-02-09,"Monark, nazismo e a questão da Palestina – Monitor do Oriente"
